Aphid_genus,Host_use_breadth,Genus_diversity,Environmental_PC1,Environmental_PC2,Environmental_PC3
epameibaphis,-0.580971895,-0.051341462,4.022970711,-5.025621154,-4.631287209
smynthurodes,1.286374322,-1.232612961,1.065043238,-3.545230785,-0.162376084
drepanosiphum,0.070821452,-0.051341462,3.978784772,-4.015823271,-1.314105406
betulaphis,-0.580971895,-0.051341462,6.718706823,2.96287524,-1.443936936
thelaxes,-1.674722865,-1.232612961,-1.607762936,-8.384582379,-1.480597015
tuberculatus,-0.296217847,0.856813546,-1.085176097,-8.391460132,0.564284264
callipterinella,-0.115822772,-0.486596663,2.119231104,-4.481634018,2.051666766
vesiculaphis,-0.580971895,-1.232612961,-6.704578362,-7.894834282,0.694253694
shivaphis,-1.017994346,-1.232612961,-4.956450542,-3.187535418,8.059193689
hyalomyzus,0.070821452,0.856813546,-1.268894084,1.14327047,0.908435382
braggia,-1.674722865,0.2410436,2.310038896,-4.97864676,-4.074495882
tamalia,-0.115822772,-0.051341462,0.687073344,-7.768838147,-1.348114879
ovatus,-0.296217847,-1.232612961,-1.610807663,0.128576338,1.512665378
muscaphis,0.58748684,0.74914321,5.644072457,2.696985827,-5.301367746
pseudoepameibaphis,-1.017994346,0.2410436,-4.523165268,-4.773123912,-5.975504862
oestlundiella,-0.580971895,-1.232612961,7.651477789,-1.387360409,-3.131053477
hyadaphis,0.878150104,-0.051341462,0.676212363,0.630967015,1.46818737
diuraphis,0.174261861,0.454193982,1.359111797,4.326863587,-1.067829573
rhopalomyzus,0.408292694,-0.051341462,-0.690731083,0.468311852,-0.818425921
atarsos,-1.674722865,-1.232612961,-3.526451545,1.760315821,-5.305240278
cedoaphis,-0.296217847,-0.486596663,-1.530042083,-5.54066711,-5.511301546
abstrusomyzus,0.991707742,0.2410436,2.077445555,-3.310775835,-2.093338621
forda,0.408292694,-0.486596663,3.360211192,-4.08735951,-2.574443593
myzodium,0.501241016,-0.486596663,7.856204015,4.51230201,-2.239918073
schizaphis,0.174261861,0.61814787,2.270817005,2.041430888,-0.584678982
eomacrosiphon,-1.674722865,-1.232612961,-1.602885672,-2.859210284,-6.58807195
pentalonia,0.221844748,-0.486596663,-4.769945928,-9.555702097,2.654205211
hyalopterus,0.878150104,-1.232612961,1.854063255,-1.605048288,1.348893101
trama,-0.296217847,-1.232612961,-2.895080921,0.009384673,-0.477576685
pseudocercidis,-1.017994346,-0.486596663,-3.046184081,7.553776795,0.663633042
pseudacaudella,0.299073316,-1.232612961,6.737364439,5.202339125,-1.644771977
tuberolachnus,-0.115822772,-1.232612961,2.402855987,-5.630340309,3.616351167
ctenocallis,-0.580971895,-1.232612961,3.647506328,-2.657749625,-1.883547454
microlophium,-1.017994346,-1.232612961,-0.645120493,0.540872729,1.117248056
maculolachnus,-0.296217847,-0.486596663,1.143252089,2.952584306,-6.779294691
therioaphis,0.408292694,-0.051341462,-2.664122235,2.829409146,0.731316173
tetraneura,0.070821452,-0.486596663,-4.308207747,3.316403443,1.036126886
boernerina,-1.017994346,-0.051341462,3.252019456,5.722184466,-5.324600284
subsaltusaphis,-1.674722865,-0.486596663,-4.715170332,3.01571835,3.125189717
aulacorthum,0.749758095,-0.051341462,6.382358218,-0.623924734,-0.585998376
adelges,-1.017994346,1.091717609,3.146839921,3.158347362,-0.380929855
artemisaphis,-1.674722865,-1.232612961,-4.672125821,-0.81324684,-3.728305087
melanaphis,-0.296217847,0.2410436,-4.719613825,-2.769175053,9.201936259
phylloxera,-0.580971895,1.5990218,-3.801056621,3.732972945,1.046063062
decorosiphon,-0.181631577,-1.232612961,7.842037733,4.513854835,-3.465394414
pineus,-1.017994346,1.091717609,3.815081602,2.953461959,-2.100520993
sarucallis,-1.017994346,-1.232612961,-3.997045644,-6.398575132,8.088938163
neoamphorophora,-0.580971895,-1.232612961,-5.202742483,3.279309985,-2.897164053
appendiseta,-0.041104208,-1.232612961,-4.2780754,1.917609107,1.620690204
acuticauda,-0.580971895,-0.486596663,-10.11557239,2.588217021,-1.641833847
longicaudus,-0.580971895,-1.232612961,1.88789238,-1.424499462,-0.499211131
daktulosphaira,-1.674722865,-1.232612961,-5.059007407,5.070617287,1.218219586
gharesia,-1.674722865,-1.232612961,-11.32215129,2.99202054,-14.90819733
brachyunguis,-1.674722865,-0.486596663,-10.8821184,-7.425932358,-6.845489357
peltaphis,-1.674722865,-1.232612961,-13.80212818,2.372287271,-1.103956194
idiopterus,0.299073316,-1.232612961,-14.96145783,2.487567255,-1.84464648
hannabura,-1.674722865,-1.232612961,-2.030156548,7.587835882,2.415914353
monaphis,-1.017994346,-1.232612961,-15.08715473,5.411295481,-4.296241716
